ID_registro;X;Y;P;PROVINCIA;DISTRITO;ALIMENTO;CONTAMINAN;RESULTADO;COND_AN;ESTE;NORTE;ZONA
40797;-77.7113699109912;-9.16649927832738;82.000000;YUNGAY;RANRAHIRCA;MELOCOTON;ARSENICO;<0.017;SIN PARAMETRO;202013.740000;8985616.210000;18
40798;-77.736559533553;-9.1703377877045;83.000000;YUNGAY;RANRAHIRCA;MAIZ CHOCLO;ARSENICO;<0.014;SIN PARAMETRO;199246.570000;8985170.370000;18
40799;-78.1103601874352;-9.33592537619372;4.000000;CASMA;BUENA VISTA ALTA;MANZANA;ARSENICO;<0.012;SIN PARAMETRO;817441.770000;8966709.110000;17
40800;-78.1114723992766;-9.33601256399103;5.000000;CASMA;BUENA VISTA ALTA;MANZANA;ARSENICO;<0.012;SIN PARAMETRO;817319.410000;8966700.460000;17
40801;-78.1761862362379;-9.38422379847488;6.000000;CASMA;BUENA VISTA ALTA;UVA;ARSENICO;<0.012;SIN PARAMETRO;810161.900000;8961421.660000;17
40802;-78.1141611387137;-9.33413420533101;7.000000;CASMA;BUENA VISTA ALTA;MANZANA;ARSENICO;<0.012;SIN PARAMETRO;817025.500000;8966910.800000;17
40803;-78.1192146086879;-9.33734488500749;8.000000;CASMA;BUENA VISTA ALTA;MANZANA;ARSENICO;<0.012;SIN PARAMETRO;816467.000000;8966559.940000;17
40804;-78.2321137657274;-9.45543831390257;9.000000;CASMA;BUENA VISTA ALTA;PALTA;ARSENICO;0.025;SIN PARAMETRO;803951.960000;8953588.390000;17
40805;-78.2321137657274;-9.45543831390257;10.000000;CASMA;BUENA VISTA ALTA;PALTA;CADMIO;0.067;EXCEDE LMP;803951.960000;8953588.390000;17
40806;-78.2513366308738;-9.49867105797025;11.000000;CASMA;CASMA;PAPRIKA;ARSENICO;0.107;SIN PARAMETRO;801801.650000;8948820.050000;17
40807;-78.2513366308738;-9.49867105797025;12.000000;CASMA;CASMA;PAPRIKA;CADMIO;0.29;EXCEDE LMP;801801.650000;8948820.050000;17
40808;-78.2513366308738;-9.49867105797025;13.000000;CASMA;CASMA;PAPRIKA;PLOMO;0.099;EXCEDE LMP;801801.650000;8948820.050000;17
40809;-78.3199711750536;-9.46505973558928;14.000000;CASMA;COMANDANTE NOEL;ESPARRAGO;ARSENICO;<0.011;SIN PARAMETRO;794289.000000;8952599.000000;17
40810;-78.052226007209;-9.53050514226096;17.000000;CASMA;YAUTAN;MANGO;ARSENICO;<0.012;SIN PARAMETRO;823651.640000;8945116.380000;17
40811;-78.052226007209;-9.53050514226096;19.000000;CASMA;YAUTAN;PALTA;ARSENICO;<0.012;SIN PARAMETRO;823651.640000;8945116.380000;17
40812;-78.1852141936759;-9.91584129885965;21.000000;HUARMEY;CULEBRAS;ESPARRAGO;ARSENICO;<0.025;SIN PARAMETRO;808684.540000;8902585.880000;17
40813;-78.0912675635418;-9.86770236504235;22.000000;HUARMEY;CULEBRAS;ESPARRAGO;ARSENICO;<0.025;SIN PARAMETRO;819042.000000;8907826.000000;17
40814;-78.1042950196954;-9.87723052238515;23.000000;HUARMEY;CULEBRAS;ESPARRAGO;ARSENICO;<0.025;SIN PARAMETRO;817602.790000;8906783.690000;17
40815;-78.0930688619739;-9.86766624223626;24.000000;HUARMEY;CULEBRAS;ESPARRAGO;ARSENICO;<0.025;SIN PARAMETRO;818844.300000;8907831.720000;17
40816;-78.1902142946043;-9.92309154045246;25.000000;HUARMEY;CULEBRAS;MARACUYA;ARSENICO;0.02;SIN PARAMETRO;808129.000000;8901788.000000;17
40817;-78.0592876321076;-9.85055019684189;26.000000;HUARMEY;CULEBRAS;MARACUYA;ARSENICO;0.013;SIN PARAMETRO;822569.300000;8909694.020000;17
40818;-78.0592876321076;-9.85055019684189;27.000000;HUARMEY;CULEBRAS;MARACUYA;CADMIO;0.095;EXCEDE LMP;822569.300000;8909694.020000;17
40819;-78.1237096378687;-10.0679352562336;28.000000;HUARMEY;HUARMEY;UVA;ARSENICO;<0.015;SIN PARAMETRO;815288.000000;8885692.000000;17
